employee_id,department,region,tenure,role_level,work_mode,wave,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,uwes_1,uwes_2,uwes_3,pers_1,pers_2,pers_3,tech_1,tech_2,tech_3,just_1,just_2,psys_1,psys_2,esg_1,esg_2
E0010,Other (24),Israel,1-3y,mid,remote,1,3.0,4.0,4.0,10.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,7.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0
E0011,Other (24),Israel,3-5y,mid,onsite,1,5.0,4.0,4.0,8.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,7.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0
E0012,F,UK,<1y,mid,hybrid,1,2.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,6.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0
E0013,O,US,1-3y,senior,remote,1,2.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0
E0014,Other (24),India,<1y,mid,hybrid,1,4.0,4.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0
E0015,F,India,<1y,senior,onsite,1,4.0,3.0,3.0,6.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,8.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
E0016,F,UK,>5y,senior,hybrid,1,4.0,4.0,2.0,9.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,7.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0
E0017,G,Europe,>5y,senior,remote,1,3.0,2.0,3.0,7.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,6.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0
E0018,H,Israel,>5y,junior,remote,1,4.0,4.0,5.0,10.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,10.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0
E0019,Other (24),Israel,1-3y,mid,remote,1,2.0,3.0,2.0,7.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,6.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0
E0020,R,Europe,3-5y,mid,hybrid,1,3.0,4.0,3.0,9.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,8.0,2.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
E0021,P,US,1-3y,senior,hybrid,1,3.0,5.0,4.0,7.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,4.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,3.0,4.0
E0022,H,US,1-3y,lead,hybrid,1,5.0,4.0,4.0,9.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0
E0023,Q,Europe,<1y,lead,hybrid,1,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0
E0024,L,Israel,1-3y,lead,hybrid,1,4.0,3.0,5.0,2.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0
E0025,J,UK,1-3y,senior,remote,1,3.0,3.0,3.0,6.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,9.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0
E0026,Other (24),UK,3-5y,junior,onsite,1,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
E0027,B,US,1-3y,senior,hybrid,1,4.0,3.0,5.0,9.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,10.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0
E0028,F,UK,1-3y,junior,hybrid,1,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,8.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0
E0029,F,Israel,1-3y,senior,hybrid,1,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
E0030,D,Israel,3-5y,mid,hybrid,1,2.0,4.0,4.0,6.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,7.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0
E0031,P,US,>5y,senior,hybrid,1,3.0,5.0,5.0,8.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,9.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0
E0032,P,US,<1y,lead,remote,1,4.0,4.0,5.0,7.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,8.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
E0033,A,Europe,3-5y,mid,remote,1,4.0,3.0,2.0,7.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0
E0034,Other (24),US,<1y,senior,hybrid,1,1.0,3.0,3.0,7.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0
E0035,O,India,<1y,mid,hybrid,1,2.0,4.0,5.0,6.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,6.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
E0036,C,Europe,1-3y,mid,hybrid,1,4.0,4.0,4.0,7.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,9.0,4.0,3.0,5.0,2.0,3.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0
E0037,I,US,3-5y,junior,hybrid,1,5.0,4.0,5.0,7.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,8.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0
E0038,M,UK,3-5y,lead,remote,1,3.0,4.0,3.0,8.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,7.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0
E0039,G,Israel,>5y,mid,hybrid,1,5.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,3.0,7.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0
E0040,G,Israel,1-3y,senior,hybrid,1,3.0,4.0,3.0,7.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
E0041,F,US,>5y,mid,remote,1,4.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,9.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0
E0042,P,UK,<1y,mid,remote,1,3.0,4.0,4.0,7.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,9.0,5.0,1.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0
E0043,P,India,3-5y,mid,remote,1,1.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,10.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0
E0044,Q,US,1-3y,senior,hybrid,1,4.0,5.0,5.0,10.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,10.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
E0045,K,Europe,1-3y,senior,onsite,1,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0
E0046,H,Europe,<1y,senior,onsite,1,5.0,3.0,5.0,8.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0
E0047,F,India,1-3y,mid,hybrid,1,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,6.0,5.0,2.0,4.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0
E0048,A,US,1-3y,mid,onsite,1,5.0,4.0,5.0,9.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,9.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0
E0049,Other (24),US,<1y,senior,hybrid,1,4.0,3.0,4.0,7.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,5.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0
E0050,J,US,1-3y,mid,remote,1,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,6.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0
E0051,Other (24),India,<1y,mid,hybrid,1,4.0,4.0,3.0,6.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,6.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0
E0052,Other (24),US,1-3y,junior,remote,1,4.0,2.0,3.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0
E0053,C,UK,<1y,senior,hybrid,1,3.0,5.0,4.0,8.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,8.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
E0054,Q,Israel,>5y,senior,remote,1,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0
E0055,G,Europe,>5y,junior,remote,1,3.0,4.0,2.0,9.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,8.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0
E0056,A,US,>5y,junior,onsite,1,3.0,4.0,3.0,8.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,7.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0
E0057,D,US,>5y,senior,remote,1,4.0,3.0,4.0,7.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0
E0058,Other (24),Israel,1-3y,lead,remote,1,5.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,2.0,5.0,3.0,1.0,5.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,10.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0
E0059,G,India,<1y,junior,hybrid,1,4.0,3.0,5.0,8.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,10.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0
E0060,Other (24),India,3-5y,lead,hybrid,1,4.0,3.0,3.0,8.0,5.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0
